Sample in Buffer,Sample in Window,TRIGGER,w_adc[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED
0,0,0,-588
1,1,0,-309
2,2,0,0
3,3,0,309
4,4,0,588
5,5,0,809
6,6,0,951
7,7,0,1000
8,8,0,951
9,9,0,809
10,10,0,588
11,11,0,309
12,12,0,0
13,13,0,-309
14,14,0,-588
15,15,0,-809
16,16,0,-951
17,17,0,-1000
18,18,0,-951
19,19,0,-809
20,20,0,-588
21,21,0,-309
22,22,0,0
23,23,0,309
24,24,0,588
25,25,0,809
26,26,0,951
27,27,0,1000
28,28,0,951
29,29,0,809
30,30,0,588
31,31,0,309
32,32,0,0
33,33,0,-309
34,34,0,-588
35,35,0,-809
36,36,0,-951
37,37,0,-1000
38,38,0,-951
39,39,0,-809
40,40,0,-588
41,41,0,-309
42,42,0,0
43,43,0,309
44,44,0,588
45,45,0,809
46,46,0,951
47,47,0,1000
48,48,0,951
49,49,0,809
50,50,0,588
51,51,0,309
52,52,0,0
53,53,0,-309
54,54,0,-588
55,55,0,-809
56,56,0,-951
57,57,0,-1000
58,58,0,-951
59,59,0,-809
60,60,0,-588
61,61,0,-309
62,62,0,0
63,63,0,309
64,64,0,588
65,65,0,809
66,66,0,951
67,67,0,1000
68,68,0,951
69,69,0,809
70,70,0,588
71,71,0,309
72,72,0,0
73,73,0,-309
74,74,0,-588
75,75,0,-809
76,76,0,-951
77,77,0,-1000
78,78,0,-951
79,79,0,-809
80,80,0,-588
81,81,0,-309
82,82,0,0
83,83,0,309
84,84,0,588
85,85,0,809
86,86,0,951
87,87,0,1000
88,88,0,951
89,89,0,809
90,90,0,588
91,91,0,309
92,92,0,0
93,93,0,-309
94,94,0,-588
95,95,0,-809
96,96,0,-951
97,97,0,-1000
98,98,0,-951
99,99,0,-809
100,100,0,-588
101,101,0,-309
102,102,0,0
103,103,0,309
104,104,0,588
105,105,0,809
106,106,0,951
107,107,0,1000
108,108,0,951
109,109,0,809
110,110,0,588
111,111,0,309
112,112,0,0
113,113,0,-309
114,114,0,-588
115,115,0,-809
116,116,0,-951
117,117,0,-1000
118,118,0,-951
119,119,0,-809
120,120,0,-588
121,121,0,-309
122,122,0,0
123,123,0,309
124,124,0,588
125,125,0,809
126,126,0,951
127,127,0,1000
128,128,0,951
129,129,0,809
130,130,0,588
131,131,0,309
132,132,0,0
133,133,0,-309
134,134,0,-588
135,135,0,-809
136,136,0,-951
137,137,0,-1000
138,138,0,-951
139,139,0,-809
140,140,0,-588
141,141,0,-309
142,142,0,0
143,143,0,309
144,144,0,588
145,145,0,809
146,146,0,951
147,147,0,1000
148,148,0,951
149,149,0,809
150,150,0,588
151,151,0,309
152,152,0,0
153,153,0,-309
154,154,0,-588
155,155,0,-809
156,156,0,-951
157,157,0,-1000
158,158,0,-951
159,159,0,-809
160,160,0,-588
161,161,0,-309
162,162,0,0
163,163,0,309
164,164,0,588
165,165,0,809
166,166,0,951
167,167,0,1000
168,168,0,951
169,169,0,809
170,170,0,588
171,171,0,309
172,172,0,0
173,173,0,-309
174,174,0,-588
175,175,0,-809
176,176,0,-951
177,177,0,-1000
178,178,0,-951
179,179,0,-809
180,180,0,-588
181,181,0,-309
182,182,0,0
183,183,0,309
184,184,0,588
185,185,0,809
186,186,0,951
187,187,0,1000
188,188,0,951
189,189,0,809
190,190,0,588
191,191,0,309
192,192,0,0
193,193,0,-309
194,194,0,-588
195,195,0,-809
196,196,0,-951
197,197,0,-1000
198,198,0,-951
199,199,0,-809
200,200,0,-588
201,201,0,-309
202,202,0,0
203,203,0,309
204,204,0,588
205,205,0,809
206,206,0,951
207,207,0,1000
208,208,0,951
209,209,0,809
210,210,0,588
211,211,0,309
212,212,0,0
213,213,0,-309
214,214,0,-588
215,215,0,-809
216,216,0,-951
217,217,0,-1000
218,218,0,-951
219,219,0,-809
220,220,0,-588
221,221,0,-309
222,222,0,0
223,223,0,309
224,224,0,588
225,225,0,809
226,226,0,951
227,227,0,1000
228,228,0,951
229,229,0,809
230,230,0,588
231,231,0,309
232,232,0,0
233,233,0,-309
234,234,0,-588
235,235,0,-809
236,236,0,-951
237,237,0,-1000
238,238,0,-951
239,239,0,-809
240,240,0,-588
241,241,0,-309
242,242,0,0
243,243,0,309
244,244,0,588
245,245,0,809
246,246,0,951
247,247,0,1000
248,248,0,951
249,249,0,809
250,250,0,588
251,251,0,309
252,252,0,0
253,253,0,-309
254,254,0,-588
255,255,0,-809
256,256,0,-951
257,257,0,-1000
258,258,0,-951
259,259,0,-809
260,260,0,-588
261,261,0,-309
262,262,0,0
263,263,0,309
264,264,0,588
265,265,0,809
266,266,0,951
267,267,0,1000
268,268,0,951
269,269,0,809
270,270,0,588
271,271,0,309
272,272,0,0
273,273,0,-309
274,274,0,-588
275,275,0,-809
276,276,0,-951
277,277,0,-1000
278,278,0,-951
279,279,0,-809
280,280,0,-588
281,281,0,-309
282,282,0,0
283,283,0,309
284,284,0,588
285,285,0,809
286,286,0,951
287,287,0,1000
288,288,0,951
289,289,0,809
290,290,0,588
291,291,0,309
292,292,0,0
293,293,0,-309
294,294,0,-588
295,295,0,-809
296,296,0,-951
297,297,0,-1000
298,298,0,-951
299,299,0,-809
300,300,0,-588
301,301,0,-309
302,302,0,0
303,303,0,309
304,304,0,588
305,305,0,809
306,306,0,951
307,307,0,1000
308,308,0,951
309,309,0,809
310,310,0,588
311,311,0,309
312,312,0,0
313,313,0,-309
314,314,0,-588
315,315,0,-809
316,316,0,-951
317,317,0,-1000
318,318,0,-951
319,319,0,-809
320,320,0,-588
321,321,0,-309
322,322,0,0
323,323,0,309
324,324,0,588
325,325,0,809
326,326,0,951
327,327,0,1000
328,328,0,951
329,329,0,809
330,330,0,588
331,331,0,309
332,332,0,0
333,333,0,-309
334,334,0,-588
335,335,0,-809
336,336,0,-951
337,337,0,-1000
338,338,0,-951
339,339,0,-809
340,340,0,-588
341,341,0,-309
342,342,0,0
343,343,0,309
344,344,0,588
345,345,0,809
346,346,0,951
347,347,0,1000
348,348,0,951
349,349,0,809
350,350,0,588
351,351,0,309
352,352,0,0
353,353,0,-309
354,354,0,-588
355,355,0,-809
356,356,0,-951
357,357,0,-1000
358,358,0,-951
359,359,0,-809
360,360,0,-588
361,361,0,-309
362,362,0,0
363,363,0,309
364,364,0,588
365,365,0,809
